play_id,content_id,contract_id,timestamp,country,plays,user_type,device
P000001,Movie_001,C0001,2024-03-28T04:56:27,CA,9,family,tv
P000002,Movie_002,C0002,2024-01-03T00:05:16,FR,2,premium,web
P000003,Movie_003,C0003,2024-09-24T19:03:43,US,15,free,web
P000004,Movie_004,C0004,2024-03-04T21:04:45,JP,11,premium,mobile
P000005,Movie_005,C0005,2024-07-05T09:36:40,IN,10,student,tv
P000006,Movie_006,C0006,2024-04-05T23:38:17,UK,6,premium,tv
P000007,Movie_007,C0007,2024-07-20T19:43:20,IN,13,family,mobile
P000008,Movie_008,C0008,2024-08-30T20:40:22,US,2,premium,mobile
P000009,Movie_009,C0009,2024-05-26T13:34:39,UK,2,free,mobile
P000010,Movie_010,C0010,2024-06-20T14:58:41,DE,2,premium,mobile
P000011,Movie_011,C0011,2024-08-05T04:39:46,CA,7,premium,tablet
P000012,Movie_012,C0012,2024-06-08T15:48:15,JP,8,family,desktop
P000013,Movie_013,C0013,2024-06-15T06:14:04,DE,2,student,mobile
P000014,Movie_014,C0014,2024-06-25T08:18:07,AU,4,premium,mobile
P000015,Movie_015,C0015,2024-01-05T18:32:16,UK,10,free,tablet
P000016,Movie_016,C0016,2024-02-18T22:14:01,BR,6,family,desktop
P000017,Movie_017,C0017,2024-08-29T02:44:58,US,3,premium,mobile
P000018,Movie_018,C0018,2024-02-19T14:04:15,DE,9,student,tv
P000019,Movie_019,C0019,2024-08-14T16:09:38,US,3,family,tv
P000020,Movie_020,C0020,2024-08-22T07:26:18,DE,1,free,mobile
P000021,Movie_021,C0021,2024-04-02T04:36:37,UK,14,premium,desktop
P000022,Movie_022,C0022,2024-05-13T12:35:54,US,11,free,mobile
P000023,Movie_023,C0023,2024-05-12T15:29:40,CA,12,family,tablet
P000024,Movie_024,C0024,2024-09-25T21:45:53,UK,10,student,tablet
P000025,Movie_025,C0025,2024-04-26T08:46:07,IN,2,family,mobile
P000026,Movie_026,C0026,2024-07-11T14:24:32,US,11,free,web
P000027,Movie_027,C0027,2024-06-30T04:26:15,JP,8,student,desktop
P000028,Movie_028,C0028,2024-03-20T17:41:13,US,6,premium,mobile
P000029,Movie_029,C0029,2024-05-18T23:44:43,US,3,student,desktop
P000030,Movie_030,C0030,2024-03-16T11:58:17,DE,1,premium,web
P000031,Movie_031,C0031,2024-03-17T19:51:45,US,15,student,web
P000032,Movie_032,C0032,2024-05-11T23:19:42,IN,3,free,mobile
P000033,Movie_033,C0033,2024-03-09T09:09:37,UK,1,free,desktop
P000034,Movie_034,C0034,2024-09-11T07:49:23,US,6,free,tv
P000035,Movie_035,C0035,2024-06-26T04:07:35,DE,11,free,tablet
P000036,Movie_036,C0036,2024-08-30T00:40:48,US,2,free,web
P000037,Movie_037,C0037,2024-03-14T15:35:00,CA,12,student,tv
P000038,Movie_038,C0038,2024-08-20T20:12:11,AU,4,premium,tablet
P000039,Movie_039,C0039,2024-08-16T02:16:26,AU,5,free,tv
P000040,Movie_040,C0040,2024-04-05T23:48:24,CA,14,free,tablet
P000041,Movie_041,C0041,2024-08-14T20:02:27,US,12,premium,desktop
P000042,Movie_042,C0042,2024-09-14T16:17:19,UK,9,family,tablet
P000043,Movie_043,C0043,2024-05-25T08:24:46,US,3,student,tv
P000044,Movie_044,C0044,2024-07-23T01:47:17,US,8,student,tablet
P000045,Movie_045,C0045,2024-06-04T17:05:17,DE,11,premium,web
P000046,Movie_046,C0046,2024-03-26T06:07:59,US,14,free,desktop
P000047,Movie_047,C0047,2024-03-25T21:26:28,DE,10,free,tv
P000048,Movie_048,C0048,2024-04-08T20:23:04,US,13,premium,tv
P000049,Movie_049,C0049,2024-06-21T15:05:23,US,10,premium,desktop
