violation_id,contract_id,content_id,studio,violation_type,expected,paid,difference,territory,start_date,end_date,proof_hash
VIO0001,C0013,Movie_013,Indie Label,UNDERPAYMENT,500.0,289.61,210.39,"IN,JP,DE",2023-02-26,2024-01-28,9155e5ed35a8c05bebe3d8f5eb098e7c251b34c9da9b00581524bd831c942b53
VIO0002,C0026,Movie_026,Universal,OVERPAYMENT,750.0,-528.99,728.99,"US,CA",2023-12-11,2024-09-16,ca3eec8f15780634872c109a7620cc8863ecd000e495856624c323969ffca4c3
VIO0003,C0045,Movie_045,Indie Label,EXPIRED_LICENSE,200.0,109.46,90.54,"IN,JP,DE",2023-05-08,2024-08-03,d571f76f9bb51667e1e7cfb52da77808dd006093c0af2b2f9b18281f3171cfa9
VIO0004,C0049,Movie_049,Indie Label,UNDERPAYMENT,200.0,-329.22,829.22,"US,CA",2023-11-02,2025-07-18,0fee960f3a59c6cd912cabb22add4d0175c965c665713c20f25ce7f6c4fbbbe7
VIO0005,C0054,Movie_054,MGM,TERRITORY_VIOLATION,500.0,245.43,504.57,"IN,JP,DE",2023-01-01,2024-05-06,937131b724858d54a3c0e9bd2fdfbca82fd6de7227878adb37043b8884a7d42c
VIO0006,C0077,Movie_077,A24,OVERPAYMENT,750.0,-1322.47,1822.47,"US,CA,UK",2023-09-25,2024-12-24,7b839b9b5304a4c4318140138ad0832e93cc6b34761ccc944d286176e0a43375
VIO0007,C0085,Movie_085,MGM,UNDERPAYMENT,750.0,117.33,82.67,US,2023-04-09,2024-05-14,c874fa39c6b1564236a315299affd721d44d668235b0885add071081f084eafb
VIO0008,C0088,Movie_088,Sony Music,EXPIRED_LICENSE,500.0,152.82,347.18,"IN,JP,DE",2023-01-07,2024-04-22,28c077b8e512ab2066556d9e1e5e306526cbb5bfef78386aeaa6b0991232e098
VIO0009,C0097,Movie_097,A24,UNDERPAYMENT,200.0,-555.72,1055.72,"IN,BR",2023-12-25,2025-08-08,8309c79088f9801c29ecbed9ddd28bedb7808e78279112fb74a676736c336de9
VIO0010,C0108,Movie_108,Universal,OVERPAYMENT,500.0,55.41,144.59,"JP,DE",2023-04-08,2025-03-08,2c694f4c465466aebbca07221190c2f809230cad8f66871bc7ed7a0f6758f20d
VIO0011,C0114,Movie_114,Universal,UNDERPAYMENT,500.0,22.84,477.16,"US,CA,UK",2023-03-15,2024-11-03,d43df0be5f0963255cc4cbe21580cda18f6896d89233404b4f3dc6543ba0687d
VIO0012,C0130,Movie_130,Paramount,TERRITORY_VIOLATION,500.0,6.67,193.33,"IN,BR",2023-10-02,2024-08-03,42961163fcd9ceb32c1163df1ee66ba80564145c7dc6fe929f3d8703edee389c
VIO0013,C0132,Movie_132,Indie Label,OVERPAYMENT,200.0,194.88,305.12,"US,CA,UK",2023-02-02,2024-11-18,3ce0fe55bb9749f8fdea8261e8689cab3ab0f8cb737466bc6d804ed603705105
VIO0014,C0142,Movie_142,Lionsgate,UNDERPAYMENT,200.0,296.1,203.9,US,2023-11-11,2024-06-22,0bc704b2af2842bfe61a176d3f1c016b6149591293ac27ccc0e1cfd4ec4aa607
VIO0015,C0156,Movie_156,Indie Label,UNDERPAYMENT,500.0,-1983.71,2733.71,"IN,JP,DE",2023-11-13,2024-06-30,e67e38db656659b4cdba01f9d453e61d476d217c48f08cca72a4ee8f7b43fe5f
VIO0016,C0178,Movie_178,Disney,UNDERPAYMENT,200.0,-165.51,365.51,US,2023-04-20,2024-09-30,1647b08ef9b8249b0d6ece47b73b48476eed66dfc6929ae4633d3c399f00d181
VIO0017,C0181,Movie_181,A24,UNDERPAYMENT,500.0,35.96,714.04,"JP,DE",2023-01-23,2024-09-14,32557ab913b5876e00cfbe0b1823bb9003d4647048da9de318a12978b8fb0767
VIO0018,C0200,Movie_200,Indie Label,OVERPAYMENT,500.0,141.78,358.22,"US,CA",2023-07-08,2025-03-26,d588076327514da5135d7c0445a9fe1093b8867106e25df66ea334dcffb260e2
VIO0019,C0209,Movie_209,A24,UNDERPAYMENT,500.0,-143.0,643.0,"US,CA",2023-03-11,2023-11-21,fe6a0f83f7542f7ed2f80940a2fa148317acba9cdea37c2426e6eff41eac999e
VIO0020,C0225,Movie_225,Disney,EXPIRED_LICENSE,750.0,430.38,319.62,US,2023-03-23,2024-08-19,2759ed3562a5913c2c9aa0d4c34e316384b5bad01627ab8d36b381d0c094344c
VIO0021,C0238,Movie_238,Warner Bros,TERRITORY_VIOLATION,200.0,125.24,74.76,"JP,DE",2023-09-14,2025-07-07,c58bbb69859912d25570304d078d8bf4dab405cd17ea71e2f25a11e2473aa145
VIO0022,C0242,Movie_242,Netflix Originals,OVERPAYMENT,500.0,-43.1,543.1,"IN,BR",2023-03-04,2024-09-22,254d74e186d09d37891bcf95aca443a080f96bad3b060b410b723ab85fa8ff32
VIO0023,C0261,Movie_261,A24,UNDERPAYMENT,750.0,123.62,376.38,"UK,FR,AU",2023-10-02,2024-08-30,b615b1eb85ff2d3a19d8410ca07cb0262c6b8e15828f8de1028f077f767dd0bb
VIO0024,C0262,Movie_262,Warner Bros,UNDERPAYMENT,500.0,123.4,376.6,"UK,FR,AU",2023-09-08,2024-06-07,a1675bf76158f59f2b7166bae468eed305869abb1902ce2852ba6f35423969e7
VIO0025,C0263,Movie_263,Paramount,OVERPAYMENT,500.0,88.3,411.7,"JP,DE",2023-10-16,2024-06-11,fecf324acdea0a975d435f40e7cc07223104da05ea30185367eb31af0eb5d6f3
VIO0026,C0276,Movie_276,Lionsgate,TERRITORY_VIOLATION,500.0,28.0,172.0,"JP,DE",2023-07-29,2024-06-25,2dd300f760efb5ec56336c9da9c400f2abc6cbb403df223435cf28e8af0646e8
VIO0027,C0295,Movie_295,Universal,OVERPAYMENT,200.0,-79.2,279.2,"IN,JP,DE",2023-08-11,2025-01-11,75047714c2b32d5d72f6481c4a494952f7fedc13562ab80ca1b57f8f0adfe805
VIO0028,C0296,Movie_296,Paramount,UNDERPAYMENT,750.0,97.58,102.42,US,2023-12-21,2025-10-17,2f7f8f425ba07df7e52407025f8e9a605baa81e1a6e9208968a2efb59cd525d4
VIO0029,C0299,Movie_299,Warner Bros,UNDERPAYMENT,200.0,-1983.71,2733.71,"JP,DE",2023-03-13,2023-11-28,33eb20ff0446fd34471b904e6e1f7a740555920906f6a943702cb071fa4d2c31
VIO0030,C0300,Movie_300,Paramount,OVERPAYMENT,500.0,119.83,380.17,"IN,BR",2023-11-06,2025-06-14,d0ff27c05eeaa63f7da1f922ba1c2008841305a63bf034913f33cd8a641b6806
