audit_id,contract_id,content_id,studio,expected_payment,actual_payment,difference,violation,timestamp,proof_hash
AUD00001,C0001,Movie_001,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.626137,bf834b7f3851704edfea84542c1bdf8a01db31d16dbc19a7aebb3f67167879d0
AUD00002,C0002,Movie_002,Disney,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,f63f7e90b2ea6285abf9561b8d481e648947ca93e61264bd23aa979719f6eaa2
AUD00003,C0003,Movie_003,Warner Bros,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,5428abacfe0daede8e6a7abf435ded7e8b2d19cd2d09a3749f9405045436a77d
AUD00004,C0004,Movie_004,Netflix Originals,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,03ffaa71eb59369d8be36caeab2b84bc3c49bedc7890ad047f559a185ab7becb
AUD00005,C0005,Movie_005,Lionsgate,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,bbf119a807baac14a91ec5144427c5d8faa2207d2eb09a19e7294b2e033945a2
AUD00006,C0006,Movie_006,Warner Bros,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,5284a2be6d9ee41f07e72c6f6111525997f36bc73966ff705a3bec249485cc3f
AUD00007,C0007,Movie_007,Netflix Originals,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,b5b2e60c69730ca5ea3746083c49fa00b7674eed8116ef838451205a766cf4f3
AUD00008,C0008,Movie_008,Disney,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,4f80b749bdf5a64bf53b74bc941b1a593255ade5f6408770485f32f02a9fae08
AUD00009,C0009,Movie_009,Warner Bros,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,61f1d5d1630abbafbda65cfb662297d3d82e3292546e624207342d2a879ee784
AUD00010,C0010,Movie_010,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,0c92f65e47d58fad7162fa53c3905b7a2696eb77b2298c8a92d15c6664cf276a
AUD00011,C0011,Movie_011,Lionsgate,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,f508afecaf2082271290c142a230d71be52696c664511f4aa9ee122bccfaf337
AUD00012,C0012,Movie_012,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,b28d171d30c5f91581dd1cf35cf2ad30572b9a85eb4b615ad6456771423cfea4
AUD00013,C0013,Movie_013,Indie Label,500.0,289.61,210.39,UNDERPAYMENT,2026-04-02T02:19:27.627697,70198dba04a8a1e04e0c301d30a2efecc68742a62e51c572e529ad07eef8eec4
AUD00014,C0014,Movie_014,Warner Bros,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,371f7258ecff130a982beb77b1101426cb75633464594ea71783742b6e25940b
AUD00015,C0015,Movie_015,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,655fc2d563f1af67c8f1adf202f9f59cbd43979a8f6798714cd7d1777f375e8c
AUD00016,C0016,Movie_016,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,cc145a0c4454e3ab8752d1be85cd2597160125e5d305f7ca61fb941a173b7ec9
