contract_id,content_id,studio,royalty_rate,rate_per_play,territory,start_date,end_date,tier_threshold,tier_rate,min_guarantee
C0001,Movie_001,Sony Music,15.4,0.0619,"US,CA,UK",2023-02-27,2023-09-20,250000,0.0381,750.0
C0002,Movie_002,Disney,13.1,0.0122,"UK,FR,AU",2023-02-14,2024-10-18,50000,0.007,750.0
C0003,Movie_003,Warner Bros,15.6,0.0254,US,2023-11-29,2025-07-30,50000,0.018,750.0
C0004,Movie_004,Netflix Originals,9.0,0.0209,"JP,DE",2023-06-24,2024-09-30,100000,0.0169,200.0
C0005,Movie_005,Lionsgate,9.2,0.0665,"IN,BR",2023-06-26,2024-09-18,100000,0.0497,200.0
C0006,Movie_006,Warner Bros,14.6,0.0504,"UK,FR,AU",2023-05-31,2024-12-01,100000,0.0373,200.0
C0007,Movie_007,Netflix Originals,9.6,0.0366,"IN,JP,DE",2023-04-30,2024-02-07,100000,0.0246,200.0
C0008,Movie_008,Disney,9.6,0.0526,"US,CA,UK",2023-05-17,2024-01-25,100000,0.0314,500.0
C0009,Movie_009,Warner Bros,10.3,0.0579,"US,CA,UK",2023-12-19,2025-01-26,50000,0.045,500.0
C0010,Movie_010,Netflix Originals,10.1,0.0248,"JP,DE",2023-05-18,2024-01-20,100000,0.02,500.0
C0011,Movie_011,Lionsgate,13.4,0.0285,"US,CA,UK",2023-08-23,2024-07-14,250000,0.0176,750.0
C0012,Movie_012,Sony Music,13.1,0.0353,"JP,DE",2023-10-26,2025-06-05,50000,0.0289,200.0
C0013,Movie_013,Indie Label,14.0,0.0539,"IN,JP,DE",2023-02-26,2024-01-28,100000,0.0412,500.0
C0014,Movie_014,Warner Bros,14.8,0.0276,"UK,FR,AU",2023-08-28,2025-08-18,50000,0.0193,750.0
C0015,Movie_015,A24,8.0,0.0178,"UK,FR,AU",2023-05-17,2024-10-26,250000,0.0119,750.0
C0016,Movie_016,Paramount,16.4,0.0455,"IN,BR",2023-09-14,2024-09-10,250000,0.0263,750.0
C0017,Movie_017,Lionsgate,17.2,0.0634,US,2023-03-20,2024-10-02,250000,0.0441,500.0
C0018,Movie_018,Paramount,10.4,0.075,"JP,DE",2023-01-10,2023-10-31,50000,0.059,750.0
C0019,Movie_019,Lionsgate,15.7,0.0671,"US,CA",2023-02-13,2024-12-21,50000,0.0546,750.0
C0020,Movie_020,Indie Label,17.6,0.0286,"JP,DE",2023-10-09,2024-09-22,250000,0.0225,750.0
C0021,Movie_021,Netflix Originals,12.4,0.0379,"US,CA,UK",2023-04-13,2024-08-24,250000,0.0277,500.0
C0022,Movie_022,Lionsgate,10.3,0.0145,"US,CA",2023-05-07,2024-06-20,50000,0.0081,200.0
C0023,Movie_023,Netflix Originals,8.7,0.026,"US,CA",2023-12-29,2024-08-25,50000,0.0207,500.0
C0024,Movie_024,MGM,13.8,0.0477,"US,CA,UK",2023-09-06,2024-10-09,50000,0.0356,500.0
C0025,Movie_025,Netflix Originals,12.2,0.0166,"IN,JP,DE",2023-07-28,2024-08-05,100000,0.0121,750.0
C0026,Movie_026,Universal,10.5,0.0142,"US,CA",2023-12-11,2024-09-16,50000,0.0106,750.0
C0027,Movie_027,Universal,12.4,0.0228,"JP,DE",2023-03-13,2024-11-14,250000,0.0154,200.0
C0028,Movie_028,Disney,9.7,0.0778,"US,CA",2023-11-30,2024-06-12,100000,0.0622,500.0
C0029,Movie_029,Indie Label,10.7,0.0215,US,2023-07-25,2024-03-21,100000,0.0118,500.0
C0030,Movie_030,Warner Bros,13.8,0.0208,"JP,DE",2023-12-23,2025-10-31,250000,0.0131,200.0
C0031,Movie_031,Lionsgate,9.6,0.0135,"US,CA,UK",2023-06-10,2024-02-03,250000,0.0092,200.0
C0032,Movie_032,Disney,12.0,0.0517,"IN,JP,DE",2023-04-06,2023-12-12,250000,0.0379,200.0
C0033,Movie_033,MGM,13.7,0.0534,"UK,FR,AU",2023-11-01,2024-06-08,100000,0.0354,500.0
C0034,Movie_034,Paramount,12.6,0.0267,US,2023-12-09,2025-04-23,50000,0.0175,200.0
C0035,Movie_035,Paramount,9.3,0.0151,"JP,DE",2023-11-15,2024-08-23,100000,0.0092,200.0
C0036,Movie_036,Paramount,14.1,0.021,US,2023-07-09,2024-10-22,250000,0.0163,750.0
C0037,Movie_037,Sony Music,10.6,0.0752,"US,CA",2023-12-08,2025-04-07,50000,0.0435,750.0
C0038,Movie_038,Netflix Originals,10.0,0.0297,"UK,FR,AU",2023-03-21,2024-06-21,250000,0.018,500.0
C0039,Movie_039,Universal,14.3,0.0734,"UK,FR,AU",2023-09-08,2024-11-18,100000,0.0571,200.0
C0040,Movie_040,A24,13.5,0.0546,"US,CA",2023-06-20,2024-04-28,100000,0.0339,750.0
C0041,Movie_041,Sony Music,13.5,0.0762,"US,CA",2023-02-27,2023-11-11,100000,0.0561,750.0
C0042,Movie_042,Warner Bros,17.0,0.0189,"UK,FR,AU",2023-03-17,2024-11-26,50000,0.012,750.0
C0043,Movie_043,Indie Label,17.7,0.0348,US,2023-12-08,2024-09-18,250000,0.0244,200.0
C0044,Movie_044,Netflix Originals,15.8,0.0717,US,2023-03-25,2024-03-20,100000,0.0399,750.0
C0045,Movie_045,Indie Label,16.7,0.0211,"IN,JP,DE",2023-05-08,2024-08-03,100000,0.0156,200.0
C0046,Movie_046,Disney,10.2,0.0314,US,2023-08-24,2025-02-12,250000,0.024,200.0
C0047,Movie_047,Paramount,11.5,0.0705,"JP,DE",2023-06-18,2024-09-25,250000,0.0572,500.0
