payment_id,contract_id,content_id,amount_paid,payment_date
PMT00001,C0001,Movie_001,750.0,2024-03-03
PMT00002,C0002,Movie_002,750.0,2024-08-30
PMT00003,C0003,Movie_003,750.0,2024-01-25
PMT00004,C0004,Movie_004,200.0,2024-05-29
PMT00005,C0005,Movie_005,200.0,2024-08-18
PMT00006,C0006,Movie_006,200.0,2024-07-12
PMT00007,C0007,Movie_007,200.0,2024-08-01
PMT00008,C0008,Movie_008,500.0,2024-04-25
PMT00009,C0009,Movie_009,500.0,2024-07-14
PMT00010,C0010,Movie_010,500.0,2024-08-23
PMT00011,C0011,Movie_011,750.0,2024-06-08
PMT00012,C0012,Movie_012,200.0,2024-09-14
PMT00013,C0013,Movie_013,289.61,2024-04-13
PMT00014,C0014,Movie_014,750.0,2024-07-02
PMT00015,C0015,Movie_015,750.0,2024-08-25
PMT00016,C0016,Movie_016,750.0,2024-05-19
PMT00017,C0017,Movie_017,500.0,2024-02-17
PMT00018,C0018,Movie_018,750.0,2024-09-22
PMT00019,C0019,Movie_019,750.0,2024-01-02
PMT00020,C0020,Movie_020,750.0,2024-04-11
PMT00021,C0021,Movie_021,500.0,2024-04-08
PMT00022,C0022,Movie_022,200.0,2024-07-03
PMT00023,C0023,Movie_023,500.0,2024-07-11
PMT00024,C0024,Movie_024,500.0,2024-04-26
PMT00025,C0025,Movie_025,750.0,2024-05-14
PMT00026,C0026,Movie_026,831.79,2024-01-09
PMT00027,C0027,Movie_027,200.0,2024-04-01
PMT00028,C0028,Movie_028,500.0,2024-02-06
PMT00029,C0029,Movie_029,500.0,2024-04-24
PMT00030,C0030,Movie_030,200.0,2024-05-04
PMT00031,C0031,Movie_031,200.0,2024-01-22
PMT00032,C0032,Movie_032,200.0,2024-05-11
PMT00033,C0033,Movie_033,500.0,2024-07-25
PMT00034,C0034,Movie_034,200.0,2024-05-14
PMT00035,C0035,Movie_035,200.0,2024-09-09
PMT00036,C0036,Movie_036,750.0,2024-04-01
PMT00037,C0037,Movie_037,750.0,2024-02-24
PMT00038,C0038,Movie_038,500.0,2024-07-05
PMT00039,C0039,Movie_039,200.0,2024-07-27
PMT00040,C0040,Movie_040,750.0,2024-07-09
PMT00041,C0041,Movie_041,750.0,2024-04-19
PMT00042,C0042,Movie_042,750.0,2024-02-17
PMT00043,C0043,Movie_043,200.0,2024-01-17
PMT00044,C0044,Movie_044,750.0,2024-03-27
PMT00045,C0045,Movie_045,-528.99,2024-05-09
PMT00046,C0046,Movie_046,200.0,2024-02-24
PMT00047,C0047,Movie_047,500.0,2024-01-08
PMT00048,C0048,Movie_048,200.0,2024-03-23
PMT00049,C0049,Movie_049,109.46,2024-05-08
PMT00050,C0050,Movie_050,750.0,2024-01-06
